index,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
1982-08-30,,,,,,
1982-08-31,75.15625,19830300,75.53125,19821200,75.15625,19830300
1982-09-01,74.875,19830300,75.25,19821200,74.875,19830300
1982-09-02,75.25,19830300,75.65625,19821200,75.25,19830300
1982-09-03,75.875,19830300,76.25,19821200,75.875,19830300
1982-09-06,76.40625,19830300,76.78125,19821200,76.40625,19830300
1982-09-07,76.40625,19830300,76.78125,19821200,76.40625,19830300
1982-09-08,76.21875,19830300,76.59375,19821200,76.21875,19830300
1982-09-09,76.375,19830300,76.71875,19821200,76.375,19830300
1982-09-10,76.21875,19830300,76.5625,19821200,76.21875,19830300
1982-09-13,75.15625,19830300,75.5,19821200,75.15625,19830300
1982-09-14,75.9375,19830300,76.28125,19821200,75.9375,19830300
1982-09-15,75.875,19830300,76.34375,19821200,75.875,19830300
1982-09-16,75.84375,19830300,76.21875,19821200,75.84375,19830300
1982-09-17,75.6875,19830300,76.0625,19821200,75.6875,19830300
1982-09-20,76.125,19830300,76.5625,19821200,76.125,19830300
1982-09-21,76.3125,19830300,76.75,19821200,76.3125,19830300
1982-09-22,77.53125,19830300,78.0625,19821200,77.53125,19830300
1982-09-23,77.53125,19830300,78.0625,19821200,77.53125,19830300
1982-09-24,77.90625,19830300,78.4375,19821200,77.90625,19830300
1982-09-27,77.4375,19830300,77.90625,19821200,77.4375,19830300
1982-09-28,77.5,19830300,77.96875,19821200,77.5,19830300
1982-09-29,78.0625,19830300,78.53125,19821200,78.0625,19830300
1982-09-30,77.9375,19830300,78.46875,19821200,77.9375,19830300
1982-10-01,78.3125,19830300,78.8125,19821200,78.3125,19830300
1982-10-04,79.1875,19830300,79.75,19821200,79.1875,19830300
1982-10-05,77.9375,19830300,78.4375,19821200,77.9375,19830300
1982-10-06,78.1875,19830300,78.6875,19821200,78.1875,19830300
1982-10-07,79.0,19830300,79.5625,19821200,79.0,19830300
1982-10-08,81.0,19830300,81.5625,19821200,81.0,19830300
1982-10-11,81.34375,19830300,82.0,19821200,81.34375,19830300
1982-10-12,83.34375,19830300,84.0,19821200,83.34375,19830300
1982-10-13,83.25,19830300,83.90625,19821200,83.25,19830300
1982-10-14,83.4375,19830300,84.28125,19821200,83.4375,19830300
1982-10-15,82.46875,19830300,83.3125,19821200,82.46875,19830300
1982-10-18,81.8125,19830300,82.625,19821200,81.8125,19830300
1982-10-19,82.625,19830300,83.4375,19821200,82.625,19830300
1982-10-20,83.09375,19830300,83.8125,19821200,83.09375,19830300
1982-10-21,82.6875,19830300,83.375,19821200,82.6875,19830300
1982-10-22,82.75,19830300,83.46875,19821200,82.75,19830300
1982-10-25,82.09375,19830300,82.78125,19821200,82.09375,19830300
1982-10-26,80.875,19830300,81.5,19821200,80.875,19830300
1982-10-27,81.8125,19830300,82.4375,19821200,81.8125,19830300
1982-10-28,81.40625,19830300,82.09375,19821200,81.40625,19830300
1982-10-29,82.25,19830300,82.9375,19821200,82.25,19830300
1982-11-01,82.9375,19830300,83.65625,19821200,82.9375,19830300
1982-11-02,83.5,19830300,84.25,19821200,83.5,19830300
1982-11-03,83.5,19830300,84.25,19821200,83.5,19830300
1982-11-04,84.09375,19830300,84.84375,19821200,84.09375,19830300
1982-11-05,84.3125,19830300,85.0,19821200,84.3125,19830300
1982-11-08,83.90625,19830300,84.53125,19821200,83.90625,19830300
1982-11-09,83.59375,19830300,84.25,19821200,83.59375,19830300
1982-11-10,83.78125,19830300,84.4375,19821200,83.78125,19830300
1982-11-11,83.875,19830300,84.5,19821200,83.875,19830300
1982-11-12,83.28125,19830300,83.875,19821200,83.28125,19830300
1982-11-15,83.625,19830300,84.21875,19821200,83.625,19830300
1982-11-16,83.1875,19830300,83.84375,19821200,83.1875,19830300
1982-11-17,82.59375,19830300,83.3125,19821200,82.59375,19830300
1982-11-18,83.3125,19830300,84.09375,19821200,83.3125,19830300
1982-11-19,83.875,19830300,84.625,19821200,83.875,19830300
1982-11-22,84.15625,19830300,84.71875,19821200,84.15625,19830300
1982-11-23,83.90625,19830300,84.4375,19821200,83.90625,19830300
