index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
2007-04-30,14.05,13.75,20070800,20070700
2007-05-01,14.1,14.09,20070800,20070700
2007-05-02,14.11,13.99,20070800,20070700
2007-05-03,14.03,13.97,20070800,20070700
2007-05-04,14.38,14.08,20070800,20070700
2007-05-07,14.47,14.03,20070800,20070700
2007-05-08,14.32,13.89,20070800,20070700
2007-05-09,14.44,14.01,20070800,20070700
2007-05-10,14.35,14.09,20070800,20070700
2007-05-11,14.55,14.38,20070800,20070700
2007-05-14,14.46,14.23,20070800,20070700
2007-05-15,14.77,14.64,20070900,20070800
2007-05-16,14.79,14.79,20070900,20070800
2007-05-17,14.97,14.86,20070900,20070800
2007-05-18,14.96,14.97,20070900,20070800
2007-05-21,14.9,14.82,20070900,20070800
2007-05-22,14.77,14.58,20070900,20070800
2007-05-23,14.81,14.68,20070900,20070800
2007-05-24,14.73,14.61,20070900,20070800
2007-05-25,15.03,14.97,20070900,20070800
2007-05-28,14.95,14.79,20070900,20070800
2007-05-29,14.95,14.79,20070900,20070800
2007-05-30,14.83,14.7,20070900,20070800
2007-05-31,14.78,14.6,20070900,20070800
2007-06-01,14.81,14.62,20070900,20070800
2007-06-04,14.88,14.66,20070900,20070800
2007-06-05,14.97,14.7,20070900,20070800
2007-06-06,15.01,14.84,20070900,20070800
2007-06-07,15.06,14.97,20070900,20070800
2007-06-08,15.55,15.53,20070900,20070800
2007-06-11,15.52,15.46,20070900,20070800
2007-06-12,15.27,15.16,20070900,20070800
2007-06-13,15.53,15.46,20071000,20070900
2007-06-14,15.36,15.25,20071000,20070900
2007-06-15,15.1,15.08,20071000,20070900
2007-06-18,15.0,14.91,20071000,20070900
2007-06-19,15.02,14.98,20071000,20070900
2007-06-20,14.91,14.83,20071000,20070900
2007-06-21,15.35,15.31,20071000,20070900
2007-06-22,15.57,15.5,20071000,20070900
2007-06-25,15.84,15.83,20071000,20070900
2007-06-26,16.07,16.1,20071000,20070900
2007-06-27,16.44,16.54,20071000,20070900
2007-06-28,15.84,15.79,20071000,20070900
2007-06-29,15.8,15.8,20071000,20070900
2007-07-02,16.41,16.38,20071000,20070900
2007-07-03,16.07,16.0,20071000,20070900
2007-07-04,16.02,15.78,20071000,20070900
2007-07-05,16.02,15.78,20071000,20070900
2007-07-06,16.09,16.03,20071000,20070900
2007-07-09,15.91,15.8,20071000,20070900
2007-07-10,16.03,15.87,20071000,20070900
2007-07-11,16.68,16.7,20071000,20070900
2007-07-12,16.73,16.73,20071000,20070900
2007-07-13,16.62,16.58,20071100,20071000
2007-07-16,16.77,16.7,20071100,20071000
2007-07-17,16.99,16.97,20071100,20071000
2007-07-18,17.19,17.09,20071100,20071000
2007-07-19,17.53,17.45,20071100,20071000
2007-07-20,17.51,17.38,20071100,20071000
2007-07-23,17.88,17.82,20071100,20071000
2007-07-24,17.71,17.67,20071100,20071000
2007-07-25,18.4,18.26,20071100,20071000
2007-07-26,18.41,18.27,20071100,20071000
2007-07-27,19.33,19.37,20071100,20071000
2007-07-30,19.76,19.73,20071100,20071000
2007-07-31,19.31,19.34,20071100,20071000
2007-08-01,20.83,21.1,20071100,20071000
2007-08-02,20.98,21.16,20071100,20071000
2007-08-03,20.62,20.58,20071100,20071000
2007-08-06,21.94,22.0,20071100,20071000
2007-08-07,21.25,21.3,20071100,20071000
2007-08-08,20.28,20.26,20071100,20071000
2007-08-09,20.14,20.13,20071100,20071000
2007-08-10,22.35,22.55,20071100,20071000
2007-08-13,23.11,23.13,20071100,20071000
2007-08-14,21.66,21.56,20071200,20071100
2007-08-15,22.18,22.35,20071200,20071100
2007-08-16,22.15,22.65,20071200,20071100
2007-08-17,22.45,22.38,20071200,20071100
2007-08-20,22.64,22.6,20071200,20071100
2007-08-21,21.83,21.94,20071200,20071100
2007-08-22,21.48,21.58,20071200,20071100
2007-08-23,21.01,21.08,20071200,20071100
2007-08-24,21.01,21.04,20071200,20071100
2007-08-27,20.53,20.55,20071200,20071100
2007-08-28,20.78,20.95,20071200,20071100
2007-08-29,21.78,22.45,20071200,20071100
2007-08-30,21.43,22.04,20071200,20071100
2007-08-31,21.75,22.36,20071200,20071100
2007-09-03,21.49,21.87,20071200,20071100
2007-09-04,21.49,21.87,20071200,20071100
2007-09-05,21.03,21.34,20071200,20071100
2007-09-06,21.35,21.88,20071200,20071100
2007-09-07,21.25,21.72,20071200,20071100
2007-09-10,21.88,22.51,20071200,20071100
2007-09-11,22.1,22.95,20071200,20071100
2007-09-12,21.47,21.63,20080100,20071200
2007-09-13,21.54,21.77,20080100,20071200
2007-09-14,21.36,21.47,20080100,20071200
2007-09-17,21.35,21.49,20080100,20071200
2007-09-18,21.6,21.69,20080100,20071200
2007-09-19,20.59,20.48,20080100,20071200
2007-09-20,20.1,20.2,20080100,20071200
2007-09-21,20.16,20.38,20080100,20071200
2007-09-24,19.63,19.62,20080100,20071200
2007-09-25,19.55,19.56,20080100,20071200
2007-09-26,19.49,19.58,20080100,20071200
2007-09-27,19.24,19.28,20080100,20071200
2007-09-28,19.16,19.13,20080100,20071200
2007-10-01,19.48,19.58,20080100,20071200
2007-10-02,19.26,19.19,20080100,20071200
2007-10-03,19.62,19.66,20080100,20071200
2007-10-04,19.79,19.82,20080100,20071200
2007-10-05,19.86,19.89,20080100,20071200
2007-10-08,19.09,18.99,20080100,20071200
2007-10-09,19.28,19.17,20080100,20071200
2007-10-10,18.76,18.62,20080100,20071200
2007-10-11,18.92,18.64,20080100,20071200
2007-10-12,19.6,19.71,20080100,20071200
2007-10-15,19.76,19.55,20080200,20080100
2007-10-16,20.5,20.43,20080200,20080100
2007-10-17,21.02,21.08,20080200,20080100
2007-10-18,21.12,21.08,20080200,20080100
2007-10-19,21.01,21.01,20080200,20080100
2007-10-22,21.85,22.11,20080200,20080100
2007-10-23,21.83,21.82,20080200,20080100
2007-10-24,21.4,21.4,20080200,20080100
2007-10-25,21.63,21.66,20080200,20080100
2007-10-26,21.62,21.55,20080200,20080100
2007-10-29,21.25,21.18,20080200,20080100
2007-10-30,21.22,21.09,20080200,20080100
2007-10-31,21.77,21.92,20080200,20080100
2007-11-01,20.89,20.8,20080200,20080100
2007-11-02,22.37,22.48,20080200,20080100
2007-11-05,23.19,23.11,20080200,20080100
2007-11-06,23.8,23.83,20080200,20080100
2007-11-07,23.18,23.2,20080200,20080100
2007-11-08,25.15,25.17,20080200,20080100
2007-11-09,24.97,25.1,20080200,20080100
2007-11-12,26.04,26.09,20080200,20080100
2007-11-13,25.69,26.21,20080300,20080200
2007-11-14,24.55,24.6,20080300,20080200
2007-11-15,24.46,24.81,20080300,20080200
2007-11-16,25.39,26.1,20080300,20080200
2007-11-19,25.77,25.98,20080300,20080200
2007-11-20,26.33,26.46,20080300,20080200
2007-11-21,26.0,26.28,20080300,20080200
2007-11-22,26.25,26.7,20080300,20080200
2007-11-23,26.25,26.7,20080300,20080200
2007-11-26,25.91,26.06,20080300,20080200
2007-11-27,26.38,26.67,20080300,20080200
2007-11-28,26.07,26.39,20080300,20080200
2007-11-29,24.53,24.71,20080300,20080200
2007-11-30,24.61,24.75,20080300,20080200
2007-12-03,24.36,24.5,20080300,20080200
2007-12-04,24.29,24.55,20080300,20080200
2007-12-05,24.67,24.85,20080300,20080200
2007-12-06,24.01,24.11,20080300,20080200
2007-12-07,23.06,23.08,20080300,20080200
2007-12-10,23.21,23.39,20080300,20080200
2007-12-11,23.03,23.13,20080300,20080200
2007-12-12,23.79,23.99,20080300,20080200
2007-12-13,23.37,23.47,20080400,20080300
2007-12-14,23.84,23.91,20080400,20080300
2007-12-17,24.47,24.36,20080400,20080300
2007-12-18,25.03,25.09,20080400,20080300
2007-12-19,24.44,24.33,20080400,20080300
2007-12-20,24.22,24.29,20080400,20080300
2007-12-21,23.92,23.89,20080400,20080300
2007-12-24,23.25,23.15,20080400,20080300
2007-12-25,22.97,22.95,20080400,20080300
2007-12-26,22.97,22.95,20080400,20080300
2007-12-27,22.92,22.97,20080400,20080300
2007-12-28,23.45,23.54,20080400,20080300
2007-12-31,23.46,23.74,20080400,20080300
2008-01-01,23.95,24.19,20080400,20080300
2008-01-02,23.95,24.19,20080400,20080300
2008-01-03,24.32,24.34,20080400,20080300
2008-01-04,24.26,24.31,20080400,20080300
2008-01-07,24.83,25.01,20080400,20080300
2008-01-08,24.45,24.54,20080400,20080300
2008-01-09,25.35,25.52,20080400,20080300
2008-01-10,24.76,25.28,20080400,20080300
2008-01-11,24.36,24.51,20080400,20080300
2008-01-14,25.92,26.05,20080400,20080300
2008-01-15,24.89,25.07,20080500,20080400
2008-01-16,24.91,25.1,20080500,20080400
2008-01-17,24.94,25.1,20080500,20080400
2008-01-18,26.36,26.73,20080500,20080400
2008-01-21,26.19,26.62,20080500,20080400
2008-01-22,26.19,26.62,20080500,20080400
2008-01-23,25.77,26.45,20080500,20080400
2008-01-24,24.98,25.43,20080500,20080400
2008-01-25,25.2,25.42,20080500,20080400
2008-01-28,25.63,25.74,20080500,20080400
2008-01-29,25.13,25.23,20080500,20080400
2008-01-30,25.11,25.39,20080500,20080400
2008-01-31,25.27,25.55,20080500,20080400
2008-02-01,24.78,25.15,20080500,20080400
2008-02-04,24.24,24.7,20080500,20080400
2008-02-05,24.51,25.17,20080500,20080400
2008-02-06,25.92,26.63,20080500,20080400
2008-02-07,26.53,27.37,20080500,20080400
2008-02-08,26.01,26.7,20080500,20080400
2008-02-11,26.88,27.56,20080500,20080400
2008-02-12,26.07,26.22,20080600,20080500
2008-02-13,25.47,25.9,20080600,20080500
2008-02-14,25.18,25.33,20080600,20080500
2008-02-15,25.44,25.75,20080600,20080500
2008-02-18,25.36,25.5,20080600,20080500
2008-02-19,25.36,25.5,20080600,20080500
2008-02-20,24.96,25.31,20080600,20080500
2008-02-21,24.88,25.18,20080600,20080500
2008-02-22,24.88,24.93,20080600,20080500
2008-02-25,24.62,24.66,20080600,20080500
2008-02-26,24.15,24.24,20080600,20080500
2008-02-27,24.07,24.15,20080600,20080500
2008-02-28,24.15,24.46,20080600,20080500
2008-02-29,24.75,24.91,20080600,20080500
2008-03-03,25.85,26.31,20080600,20080500
2008-03-04,25.69,26.11,20080600,20080500
2008-03-05,25.5,25.71,20080600,20080500
2008-03-06,24.85,25.1,20080600,20080500
2008-03-07,26.23,26.5,20080600,20080500
2008-03-10,25.94,26.41,20080600,20080500
2008-03-11,26.56,26.99,20080600,20080500
2008-03-12,25.28,25.48,20080600,20080500
2008-03-13,25.71,26.01,20080700,20080600
2008-03-14,26.13,26.17,20080700,20080600
2008-03-17,26.96,27.24,20080700,20080600
2008-03-18,27.12,27.1,20080700,20080600
2008-03-19,25.33,25.13,20080700,20080600
2008-03-20,26.2,26.21,20080700,20080600
2008-03-21,25.8,25.86,20080700,20080600
2008-03-24,25.8,25.86,20080700,20080600
2008-03-25,25.6,25.41,20080700,20080600
2008-03-26,25.56,25.62,20080700,20080600
2008-03-27,26.14,26.15,20080700,20080600
2008-03-28,26.05,26.22,20080700,20080600
2008-03-31,26.24,26.16,20080700,20080600
2008-04-01,25.78,25.92,20080700,20080600
2008-04-02,24.58,24.59,20080700,20080600
2008-04-03,24.74,24.55,20080700,20080600
2008-04-04,24.54,24.65,20080700,20080600
2008-04-07,24.68,24.72,20080700,20080600
2008-04-08,24.2,24.12,20080700,20080600
2008-04-09,24.01,23.91,20080700,20080600
2008-04-10,24.59,24.48,20080700,20080600
2008-04-11,24.15,24.15,20080700,20080600
2008-04-14,24.72,25.14,20080800,20080700
2008-04-15,24.8,24.99,20080800,20080700
2008-04-16,24.54,24.59,20080800,20080700
2008-04-17,23.46,23.5,20080800,20080700
2008-04-18,23.44,23.61,20080800,20080700
2008-04-21,23.18,23.14,20080800,20080700
2008-04-22,22.92,22.81,20080800,20080700
2008-04-23,23.21,23.15,20080800,20080700
2008-04-24,23.11,23.16,20080800,20080700
2008-04-25,22.87,22.85,20080800,20080700
2008-04-28,22.4,22.33,20080800,20080700
2008-04-29,22.05,22.05,20080800,20080700
2008-04-30,22.38,22.3,20080800,20080700
2008-05-01,22.45,22.49,20080800,20080700
2008-05-02,21.51,21.6,20080800,20080700
2008-05-05,21.47,21.42,20080800,20080700
2008-05-06,21.6,21.69,20080800,20080700
2008-05-07,21.34,21.16,20080800,20080700
2008-05-08,22.08,22.07,20080800,20080700
2008-05-09,22.17,22.18,20080800,20080700
2008-05-12,22.29,22.27,20080800,20080700
2008-05-13,21.87,21.87,20080800,20080700
2008-05-14,22.08,21.88,20080900,20080800
2008-05-15,22.09,21.68,20080900,20080800
2008-05-16,21.56,21.37,20080900,20080800
2008-05-19,21.95,21.69,20080900,20080800
2008-05-20,22.0,21.73,20080900,20080800
2008-05-21,22.57,22.68,20080900,20080800
2008-05-22,23.76,23.84,20080900,20080800
2008-05-23,23.7,23.72,20080900,20080800
2008-05-26,24.22,24.18,20080900,20080800
2008-05-27,24.22,24.18,20080900,20080800
2008-05-28,23.78,23.83,20080900,20080800
2008-05-29,23.59,23.55,20080900,20080800
2008-05-30,23.11,22.66,20080900,20080800
2008-06-02,22.99,22.63,20080900,20080800
2008-06-03,23.48,23.25,20080900,20080800
2008-06-04,23.84,23.6,20080900,20080800
2008-06-05,24.02,23.44,20080900,20080800
2008-06-06,23.46,23.01,20080900,20080800
2008-06-09,24.66,24.18,20080900,20080800
2008-06-10,24.59,24.03,20080900,20080800
2008-06-11,24.36,23.81,20080900,20080800
2008-06-12,24.69,24.74,20081000,20080900
2008-06-13,24.52,24.78,20081000,20080900
2008-06-16,23.78,23.89,20081000,20080900
2008-06-17,23.4,23.44,20081000,20080900
2008-06-18,23.47,23.43,20081000,20080900
2008-06-19,23.85,23.69,20081000,20080900
2008-06-20,23.45,23.57,20081000,20080900
2008-06-23,23.72,23.7,20081000,20080900
2008-06-24,23.61,23.59,20081000,20080900
2008-06-25,23.54,23.65,20081000,20080900
2008-06-26,23.01,23.03,20081000,20080900
2008-06-27,24.21,24.41,20081000,20080900
2008-06-30,24.18,24.36,20081000,20080900
2008-07-01,24.02,24.11,20081000,20080900
2008-07-02,23.85,24.06,20081000,20080900
2008-07-03,24.55,24.78,20081000,20080900
2008-07-04,24.33,24.6,20081000,20080900
2008-07-07,24.33,24.6,20081000,20080900
2008-07-08,24.69,24.72,20081000,20080900
2008-07-09,23.44,23.52,20081000,20080900
2008-07-10,24.51,24.56,20081000,20080900
2008-07-11,24.52,24.7,20081000,20080900
2008-07-14,24.78,24.99,20081000,20080900
2008-07-15,24.47,24.93,20081100,20081000
2008-07-16,24.84,25.3,20081100,20081000
2008-07-17,23.57,23.94,20081100,20081000
2008-07-18,23.14,23.7,20081100,20081000
2008-07-21,23.03,23.57,20081100,20081000
2008-07-22,22.77,23.28,20081100,20081000
2008-07-23,22.36,22.74,20081100,20081000
2008-07-24,22.71,22.86,20081100,20081000
2008-07-25,23.66,23.91,20081100,20081000
2008-07-28,23.6,23.77,20081100,20081000
2008-07-29,24.11,24.3,20081100,20081000
2008-07-30,23.17,23.21,20081100,20081000
2008-07-31,22.52,22.46,20081100,20081000
2008-08-01,23.01,23.02,20081100,20081000
2008-08-04,23.09,23.16,20081100,20081000
2008-08-05,23.06,23.16,20081100,20081000
2008-08-06,22.42,22.47,20081100,20081000
2008-08-07,22.38,22.24,20081100,20081000
2008-08-08,22.88,22.94,20081100,20081000
2008-08-11,22.69,22.62,20081100,20081000
2008-08-12,22.65,22.59,20081100,20081000
2008-08-13,22.6,23.02,20081200,20081100
2008-08-14,22.85,23.24,20081200,20081100
2008-08-15,22.45,22.68,20081200,20081100
2008-08-18,22.47,22.71,20081200,20081100
2008-08-19,22.65,23.01,20081200,20081100
2008-08-20,22.9,23.53,20081200,20081100
2008-08-21,22.73,23.17,20081200,20081100
2008-08-22,22.73,23.23,20081200,20081100
2008-08-25,22.74,23.08,20081200,20081100
2008-08-26,23.3,23.64,20081200,20081100
2008-08-27,23.15,23.41,20081200,20081100
2008-08-28,22.88,23.1,20081200,20081100
2008-08-29,22.61,22.91,20081200,20081100
2008-09-01,22.95,23.31,20081200,20081100
2008-09-02,22.95,23.31,20081200,20081100
2008-09-03,23.16,23.42,20081200,20081100
2008-09-04,23.2,23.42,20081200,20081100
2008-09-05,24.03,24.46,20081200,20081100
2008-09-08,23.56,24.1,20081200,20081100
2008-09-09,23.18,23.63,20081200,20081100
2008-09-10,24.09,24.56,20081200,20081100
2008-09-11,23.79,24.24,20081200,20081100
2008-09-12,24.21,23.68,20090100,20081200
2008-09-15,24.37,23.97,20090100,20081200
2008-09-16,25.21,24.73,20090100,20081200
2008-09-17,24.76,24.49,20090100,20081200
2008-09-18,25.58,25.44,20090100,20081200
2008-09-19,24.78,24.65,20090100,20081200
2008-09-22,24.37,24.2,20090100,20081200
2008-09-23,25.39,25.11,20090100,20081200
2008-09-24,26.1,25.94,20090100,20081200
2008-09-25,25.68,25.61,20090100,20081200
2008-09-26,25.32,25.12,20090100,20081200
2008-09-29,25.43,25.17,20090100,20081200
2008-09-30,27.87,28.03,20090100,20081200
2008-10-01,26.77,26.68,20090100,20081200
2008-10-02,27.0,27.04,20090100,20081200
2008-10-03,27.8,28.24,20090100,20081200
2008-10-06,28.05,28.56,20090100,20081200
2008-10-07,28.66,29.32,20090100,20081200
2008-10-08,29.73,30.43,20090100,20081200
2008-10-09,30.2,31.21,20090100,20081200
2008-10-10,31.6,33.38,20090100,20081200
2008-10-13,32.42,33.79,20090100,20081200
2008-10-14,29.83,30.52,20090200,20090100
2008-10-15,30.58,31.38,20090200,20090100
2008-10-16,33.85,34.49,20090200,20090100
2008-10-17,34.32,34.71,20090200,20090100
2008-10-20,34.75,36.08,20090200,20090100
2008-10-21,33.79,34.22,20090200,20090100
2008-10-22,33.82,34.95,20090200,20090100
2008-10-23,36.03,37.85,20090200,20090100
2008-10-24,36.48,38.11,20090200,20090100
2008-10-27,39.23,40.69,20090200,20090100
2008-10-28,39.98,41.78,20090200,20090100
