index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
2006-11-13,,,,
2006-11-14,13.17,12.68,20070200,20070100
2006-11-15,13.06,12.54,20070200,20070100
2006-11-16,12.93,12.35,20070200,20070100
2006-11-17,12.9,12.29,20070200,20070100
2006-11-20,12.94,12.32,20070200,20070100
2006-11-21,13.09,12.36,20070200,20070100
2006-11-22,13.31,12.48,20070200,20070100
2006-11-23,13.5,12.59,20070200,20070100
2006-11-24,13.5,12.59,20070200,20070100
2006-11-27,13.52,12.84,20070200,20070100
2006-11-28,13.98,13.39,20070200,20070100
2006-11-29,13.68,12.96,20070200,20070100
2006-11-30,13.44,12.58,20070200,20070100
2006-12-01,13.28,12.52,20070200,20070100
2006-12-04,13.5,12.74,20070200,20070100
2006-12-05,13.22,12.5,20070200,20070100
2006-12-06,13.24,12.55,20070200,20070100
2006-12-07,13.26,12.69,20070200,20070100
2006-12-08,13.54,12.77,20070200,20070100
2006-12-11,13.32,12.81,20070200,20070100
2006-12-12,13.32,12.6,20070200,20070100
2006-12-13,14.0,13.33,20070300,20070200
2006-12-14,13.89,13.37,20070300,20070200
2006-12-15,13.85,13.4,20070300,20070200
2006-12-18,14.02,13.55,20070300,20070200
2006-12-19,14.02,13.62,20070300,20070200
2006-12-20,13.9,13.46,20070300,20070200
2006-12-21,13.92,13.39,20070300,20070200
2006-12-22,14.05,13.5,20070300,20070200
2006-12-25,14.25,13.68,20070300,20070200
2006-12-26,14.25,13.68,20070300,20070200
2006-12-27,13.87,13.4,20070300,20070200
2006-12-28,13.79,13.08,20070300,20070200
2006-12-29,13.93,13.12,20070300,20070200
2007-01-01,14.06,13.11,20070300,20070200
2007-01-02,14.06,13.11,20070300,20070200
2007-01-03,14.06,13.11,20070300,20070200
2007-01-04,14.06,13.11,20070300,20070200
2007-01-05,13.66,13.16,20070300,20070200
2007-01-08,13.83,13.48,20070300,20070200
2007-01-09,13.93,13.33,20070300,20070200
2007-01-10,13.88,13.21,20070300,20070200
2007-01-11,13.9,13.16,20070300,20070200
2007-01-12,13.44,12.28,20070300,20070200
2007-01-15,13.82,13.18,20070400,20070300
2007-01-16,13.82,13.18,20070400,20070300
2007-01-17,13.57,12.91,20070400,20070300
2007-01-18,13.57,12.9,20070400,20070300
