index,adjusted,underlying
2006-11-13,69.34999999999997,13.17
2006-11-14,69.23999999999998,13.06
2006-11-15,69.10999999999999,12.93
2006-11-16,69.07999999999998,12.9
2006-11-17,69.11999999999998,12.94
2006-11-20,69.26999999999998,13.09
2006-11-21,69.48999999999998,13.31
2006-11-22,69.67999999999998,13.5
2006-11-23,,
2006-11-24,69.69999999999996,13.52
2006-11-27,70.15999999999997,13.98
2006-11-28,69.85999999999999,13.68
2006-11-29,69.61999999999998,13.44
2006-11-30,69.45999999999998,13.28
2006-12-01,69.67999999999998,13.5
2006-12-04,69.39999999999998,13.22
2006-12-05,69.41999999999999,13.24
2006-12-06,69.43999999999997,13.26
2006-12-07,69.71999999999997,13.54
2006-12-08,69.49999999999997,13.32
2006-12-11,69.49999999999997,13.32
2006-12-12,69.84999999999997,14.0
2006-12-13,69.73999999999998,13.89
2006-12-14,69.69999999999996,13.85
2006-12-15,69.86999999999998,14.02
2006-12-18,69.86999999999998,14.02
2006-12-19,69.74999999999997,13.9
2006-12-20,69.76999999999998,13.92
2006-12-21,69.89999999999998,14.05
2006-12-22,70.09999999999997,14.25
2006-12-25,,
2006-12-26,69.71999999999997,13.87
2006-12-27,69.63999999999999,13.79
2006-12-28,69.77999999999997,13.93
2006-12-29,69.90999999999997,14.06
2007-01-01,,
2007-01-02,,
2007-01-03,69.90999999999997,14.06
2007-01-04,69.50999999999996,13.66
2007-01-05,69.67999999999998,13.83
2007-01-08,69.77999999999997,13.93
2007-01-09,69.72999999999996,13.88
2007-01-10,69.74999999999997,13.9
2007-01-11,69.28999999999996,13.44
2007-01-12,69.08999999999997,13.82
2007-01-15,,
2007-01-16,68.83999999999997,13.57
2007-01-17,68.83999999999997,13.57
2007-01-18,68.73999999999998,13.47
2007-01-19,68.58999999999997,13.32
2007-01-22,68.61999999999998,13.35
2007-01-23,68.59999999999997,13.33
2007-01-24,68.54999999999998,13.28
2007-01-25,68.71999999999997,13.45
2007-01-26,68.73999999999998,13.47
2007-01-29,68.71999999999997,13.45
2007-01-30,68.61999999999998,13.35
2007-01-31,68.43999999999997,13.17
2007-02-01,68.34999999999997,13.08
2007-02-02,68.34999999999997,13.08
2007-02-05,68.31999999999996,13.05
2007-02-06,68.09999999999997,12.83
2007-02-07,68.09999999999997,12.83
2007-02-08,68.09999999999997,12.83
2007-02-09,68.28999999999996,13.74
2007-02-12,68.49999999999997,13.95
2007-02-13,68.24999999999997,13.7
