index,adjusted,underlying
2014-12-03,8.290999999999984,3.802
2014-12-04,8.144999999999987,3.656
2014-12-05,8.304999999999987,3.8160000000000003
2014-12-08,8.138999999999989,3.65
2014-12-09,8.151999999999989,3.6630000000000003
2014-12-10,8.217999999999988,3.7289999999999996
2014-12-11,8.176999999999987,3.688
2014-12-12,8.278999999999987,3.79
2014-12-15,8.23699999999999,3.748
2014-12-16,8.143999999999986,3.655
2014-12-17,8.195999999999989,3.707
2014-12-18,8.191999999999988,3.7030000000000003
2014-12-19,7.986999999999987,3.498
2014-12-22,7.723999999999987,3.235
2014-12-23,7.6939999999999875,3.205
2014-12-24,7.563999999999987,3.075
2014-12-29,7.655999999999987,3.168
2014-12-30,7.592999999999987,3.105
2014-12-31,7.415999999999987,2.928
2015-01-02,7.445999999999986,2.958
2015-01-05,7.415999999999987,2.928
2015-01-06,7.422999999999987,2.935
2015-01-07,7.367999999999987,2.88
2015-01-08,7.4329999999999865,2.945
2015-01-09,7.450999999999987,2.963
2015-01-12,7.292999999999988,2.805
2015-01-13,7.423999999999986,2.9360000000000004
2015-01-14,7.739999999999987,3.252
2015-01-15,7.633999999999987,3.1460000000000004
2015-01-16,7.554999999999986,3.0669999999999997
2015-01-19,7.455999999999988,2.968
2015-01-20,7.366999999999986,2.8789999999999996
2015-01-21,7.434999999999987,2.947
2015-01-22,7.336999999999986,2.8489999999999998
2015-01-23,7.410999999999986,2.903
2015-01-26,7.340999999999986,2.833
2015-01-27,7.385999999999986,2.878
2015-01-28,7.343999999999986,2.8360000000000003
2015-01-29,7.219999999999987,2.7119999999999997
2015-01-30,7.186999999999988,2.679
2015-02-02,7.184999999999987,2.677
2015-02-03,7.265999999999987,2.758
2015-02-04,7.176999999999986,2.6689999999999996
2015-02-05,7.122999999999988,2.615
2015-02-06,7.111999999999987,2.6039999999999996
2015-02-09,7.143999999999987,2.636
2015-02-10,7.219999999999987,2.7119999999999997
2015-02-11,7.346999999999986,2.839
2015-02-12,7.246999999999987,2.739
2015-02-13,7.308999999999986,2.801
2015-02-16,7.384499999999986,2.8765
2015-02-17,7.306999999999987,2.799
2015-02-18,7.343999999999986,2.8360000000000003
2015-02-19,7.364999999999987,2.8569999999999998
2015-02-20,7.477999999999988,2.97
2015-02-23,7.390999999999987,2.883
2015-02-24,7.395999999999986,2.917
2015-02-25,7.371999999999987,2.8930000000000002
2015-02-26,7.212999999999988,2.734
2015-02-27,7.254499999999987,2.7755
2015-03-02,7.221999999999988,2.7430000000000003
2015-03-03,7.2259999999999875,2.747
2015-03-04,7.285999999999988,2.807
2015-03-05,7.357999999999987,2.8789999999999996
2015-03-06,7.344999999999987,2.866
2015-03-09,7.203999999999987,2.725
2015-03-10,7.231999999999988,2.753
2015-03-11,7.329999999999987,2.8510000000000004
2015-03-12,7.250999999999988,2.772
2015-03-13,7.236999999999987,2.758
2015-03-16,7.243999999999988,2.765
2015-03-17,7.341999999999987,2.863
2015-03-18,7.396999999999987,2.918
2015-03-19,7.313999999999987,2.835
2015-03-20,7.284999999999987,2.806
2015-03-23,7.243999999999988,2.765
2015-03-24,7.283999999999987,2.805
2015-03-25,7.2309999999999865,2.795
2015-03-26,7.168999999999987,2.733
2015-03-27,7.137999999999987,2.702
2015-03-30,7.125999999999988,2.69
2015-03-31,7.122999999999988,2.687
2015-04-01,7.0899999999999865,2.654
2015-04-02,7.1939999999999875,2.758
2015-04-06,7.134499999999988,2.6985
2015-04-07,7.143999999999987,2.708
2015-04-08,7.103999999999988,2.668
2015-04-09,7.023999999999988,2.588
2015-04-10,6.993999999999988,2.5580000000000003
2015-04-13,6.983999999999987,2.548
2015-04-14,7.005999999999987,2.57
2015-04-15,7.072999999999987,2.637
2015-04-16,7.158999999999987,2.7230000000000003
2015-04-17,7.115999999999988,2.68
2015-04-20,7.0209999999999875,2.585
2015-04-21,7.0529999999999875,2.617
2015-04-22,7.079999999999987,2.6439999999999997
2015-04-23,7.019999999999986,2.5839999999999996
2015-04-24,7.007999999999988,2.572
2015-04-27,6.941999999999989,2.563
2015-04-28,6.962999999999988,2.5839999999999996
2015-04-29,7.0209999999999875,2.642
2015-04-30,7.158999999999987,2.78
2015-05-01,7.2099999999999875,2.8310000000000004
2015-05-04,7.248999999999987,2.87
