index,PRICE,CARRY,PRICE_CONTRACT,CARRY_CONTRACT
2006-11-13,,,,
2006-11-14,12.68,11.97,20070100,20061200
2006-11-15,12.54,11.72,20070100,20061200
2006-11-16,12.35,11.62,20070100,20061200
2006-11-17,12.29,11.58,20070100,20061200
2006-11-20,12.32,11.67,20070100,20061200
2006-11-21,12.36,11.43,20070100,20061200
2006-11-22,12.48,11.5,20070100,20061200
2006-11-23,12.59,11.61,20070100,20061200
2006-11-24,12.59,11.61,20070100,20061200
2006-11-27,12.84,11.71,20070100,20061200
2006-11-28,13.39,12.46,20070100,20061200
2006-11-29,12.96,12.0,20070100,20061200
2006-11-30,12.58,11.46,20070100,20061200
2006-12-01,12.52,11.37,20070100,20061200
2006-12-04,12.74,11.65,20070100,20061200
2006-12-05,12.5,11.49,20070100,20061200
2006-12-06,12.55,11.52,20070100,20061200
2006-12-07,12.69,11.55,20070100,20061200
2006-12-08,12.77,12.0,20070100,20061200
2006-12-11,12.81,11.98,20070100,20061200
2006-12-12,12.6,11.43,20070100,20061200
2006-12-13,13.33,12.51,20070200,20070100
2006-12-14,13.37,12.43,20070200,20070100
2006-12-15,13.4,12.53,20070200,20070100
2006-12-18,13.55,12.71,20070200,20070100
2006-12-19,13.62,12.74,20070200,20070100
2006-12-20,13.46,12.39,20070200,20070100
2006-12-21,13.39,12.35,20070200,20070100
2006-12-22,13.5,12.44,20070200,20070100
2006-12-25,13.68,12.62,20070200,20070100
2006-12-26,13.68,12.62,20070200,20070100
2006-12-27,13.4,12.27,20070200,20070100
2006-12-28,13.08,11.95,20070200,20070100
2006-12-29,13.12,12.09,20070200,20070100
2007-01-01,13.11,12.3,20070200,20070100
2007-01-02,13.11,12.3,20070200,20070100
2007-01-03,13.11,12.3,20070200,20070100
2007-01-04,13.11,12.3,20070200,20070100
2007-01-05,13.16,12.11,20070200,20070100
2007-01-08,13.48,12.38,20070200,20070100
2007-01-09,13.33,12.25,20070200,20070100
2007-01-10,13.21,12.34,20070200,20070100
2007-01-11,13.16,11.9,20070200,20070100
2007-01-12,12.28,10.98,20070200,20070100
2007-01-15,13.18,12.08,20070300,20070200
2007-01-16,13.18,12.08,20070300,20070200
2007-01-17,12.91,11.9,20070300,20070200
2007-01-18,12.9,11.91,20070300,20070200
2007-01-19,12.9,12.06,20070300,20070200
2007-01-22,12.78,11.69,20070300,20070200
2007-01-23,12.88,11.85,20070300,20070200
2007-01-24,12.58,11.47,20070300,20070200
2007-01-25,12.51,11.32,20070300,20070200
2007-01-26,12.78,11.83,20070300,20070200
2007-01-29,12.78,11.88,20070300,20070200
2007-01-30,12.81,11.81,20070300,20070200
2007-01-31,12.64,11.6,20070300,20070200
2007-02-01,12.35,11.51,20070300,20070200
2007-02-02,12.27,11.28,20070300,20070200
2007-02-05,12.24,11.2,20070300,20070200
2007-02-06,12.28,11.16,20070300,20070200
2007-02-07,12.03,11.16,20070300,20070200
2007-02-08,11.89,10.95,20070300,20070200
2007-02-09,11.97,11.01,20070300,20070200
2007-02-12,13.17,12.2,20070400,20070300
2007-02-13,13.39,12.42,20070400,20070300
2007-02-14,13.14,11.99,20070400,20070300
2007-02-15,12.8,11.63,20070400,20070300
2007-02-16,12.61,11.55,20070400,20070300
2007-02-19,12.58,11.56,20070400,20070300
2007-02-20,12.58,11.56,20070400,20070300
2007-02-21,12.31,11.37,20070400,20070300
2007-02-22,12.26,11.24,20070400,20070300
2007-02-23,12.21,11.15,20070400,20070300
2007-02-26,12.59,11.59,20070400,20070300
2007-02-27,12.54,11.44,20070400,20070300
2007-02-28,14.49,14.81,20070400,20070300
2007-03-01,13.55,13.5,20070400,20070300
2007-03-02,14.04,14.16,20070400,20070300
2007-03-05,14.59,15.19,20070400,20070300
2007-03-06,15.01,16.15,20070400,20070300
2007-03-07,14.12,15.03,20070400,20070300
2007-03-08,14.17,14.37,20070400,20070300
2007-03-09,13.71,13.75,20070400,20070300
2007-03-12,13.76,13.6,20070400,20070300
2007-03-13,13.62,13.14,20070400,20070300
2007-03-14,14.49,14.59,20070500,20070400
2007-03-15,14.82,15.15,20070500,20070400
2007-03-16,14.89,15.33,20070500,20070400
2007-03-19,15.22,15.79,20070500,20070400
2007-03-20,14.69,14.89,20070500,20070400
2007-03-21,14.46,14.38,20070500,20070400
2007-03-22,13.6,13.28,20070500,20070400
2007-03-23,13.72,13.36,20070500,20070400
2007-03-26,13.87,13.33,20070500,20070400
2007-03-27,13.79,13.38,20070500,20070400
2007-03-28,13.99,13.93,20070500,20070400
2007-03-29,14.59,14.72,20070500,20070400
2007-03-30,14.55,14.6,20070500,20070400
2007-04-02,14.39,14.49,20070500,20070400
2007-04-03,14.77,14.7,20070500,20070400
2007-04-04,14.28,14.0,20070500,20070400
2007-04-05,14.2,13.65,20070500,20070400
2007-04-06,14.0,13.53,20070500,20070400
2007-04-09,14.0,13.53,20070500,20070400
2007-04-10,14.03,13.3,20070500,20070400
2007-04-11,13.59,12.71,20070500,20070400
2007-04-12,14.48,13.99,20070600,20070500
2007-04-13,14.28,13.73,20070600,20070500
2007-04-16,14.02,13.57,20070600,20070500
2007-04-17,13.35,12.97,20070600,20070500
2007-04-18,13.3,13.14,20070600,20070500
2007-04-19,13.37,13.13,20070600,20070500
2007-04-20,13.53,13.02,20070600,20070500
2007-04-23,13.48,13.03,20070600,20070500
2007-04-24,13.73,13.22,20070600,20070500
2007-04-25,13.73,13.21,20070600,20070500
2007-04-26,13.51,13.1,20070600,20070500
2007-04-27,13.63,13.11,20070600,20070500
2007-04-30,13.54,13.02,20070600,20070500
2007-05-01,13.86,13.41,20070600,20070500
2007-05-02,13.85,13.43,20070600,20070500
2007-05-03,13.72,13.16,20070600,20070500
2007-05-04,13.61,13.08,20070600,20070500
2007-05-07,13.63,13.14,20070600,20070500
2007-05-08,13.72,13.22,20070600,20070500
2007-05-09,13.87,13.33,20070600,20070500
2007-05-10,13.78,12.94,20070600,20070500
2007-05-11,14.2,13.35,20070600,20070500
2007-05-14,13.94,12.77,20070600,20070500
2007-05-15,14.46,14.15,20070700,20070600
2007-05-16,14.66,14.2,20070700,20070600
2007-05-17,14.5,14.06,20070700,20070600
2007-05-18,14.63,14.16,20070700,20070600
2007-05-21,14.45,13.99,20070700,20070600
2007-05-22,14.27,13.78,20070700,20070600
2007-05-23,14.35,13.81,20070700,20070600
2007-05-24,14.34,13.75,20070700,20070600
2007-05-25,14.71,14.2,20070700,20070600
2007-05-28,14.64,13.96,20070700,20070600
2007-05-29,14.64,13.96,20070700,20070600
2007-05-30,14.43,13.83,20070700,20070600
2007-05-31,14.34,13.56,20070700,20070600
2007-06-01,14.26,13.57,20070700,20070600
2007-06-04,14.29,13.41,20070700,20070600
2007-06-05,14.34,13.57,20070700,20070600
2007-06-06,14.39,13.71,20070700,20070600
2007-06-07,14.76,14.33,20070700,20070600
2007-06-08,15.32,15.82,20070700,20070600
2007-06-11,15.14,15.08,20070700,20070600
2007-06-12,14.87,14.69,20070700,20070600
2007-06-13,15.34,15.27,20070800,20070700
2007-06-14,15.17,14.97,20070800,20070700
2007-06-15,15.0,14.65,20070800,20070700
2007-06-18,14.83,14.43,20070800,20070700
2007-06-19,14.86,14.48,20070800,20070700
2007-06-20,14.54,14.18,20070800,20070700
2007-06-21,15.13,15.03,20070800,20070700
2007-06-22,15.38,15.07,20070800,20070700
2007-06-25,15.81,15.77,20070800,20070700
2007-06-26,16.05,15.99,20070800,20070700
2007-06-27,16.53,16.64,20070800,20070700
2007-06-28,15.7,15.61,20070800,20070700
2007-06-29,15.84,15.55,20070800,20070700
2007-07-02,16.16,16.19,20070800,20070700
2007-07-03,15.9,15.72,20070800,20070700
2007-07-04,15.73,15.44,20070800,20070700
2007-07-05,15.73,15.44,20070800,20070700
2007-07-06,16.03,15.63,20070800,20070700
2007-07-09,15.73,15.3,20070800,20070700
2007-07-10,15.73,15.41,20070800,20070700
2007-07-11,16.72,16.67,20070800,20070700
2007-07-12,16.65,16.24,20070800,20070700
2007-07-13,16.45,16.42,20070900,20070800
2007-07-16,16.66,16.5,20070900,20070800
2007-07-17,16.8,16.7,20070900,20070800
2007-07-18,16.97,16.84,20070900,20070800
2007-07-19,17.42,17.37,20070900,20070800
2007-07-20,17.36,17.18,20070900,20070800
2007-07-23,17.76,17.72,20070900,20070800
2007-07-24,17.63,17.55,20070900,20070800
2007-07-25,18.14,18.18,20070900,20070800
2007-07-26,18.18,18.07,20070900,20070800
2007-07-27,19.4,19.37,20070900,20070800
2007-07-30,19.71,20.07,20070900,20070800
2007-07-31,19.35,19.44,20070900,20070800
2007-08-01,20.77,20.52,20070900,20070800
2007-08-02,21.45,21.8,20070900,20070800
2007-08-03,20.65,20.81,20070900,20070800
2007-08-06,22.29,22.61,20070900,20070800
2007-08-07,21.84,22.08,20070900,20070800
2007-08-08,20.27,20.71,20070900,20070800
2007-08-09,20.25,20.16,20070900,20070800
2007-08-10,22.95,23.26,20070900,20070800
2007-08-13,23.63,27.18,20070900,20070800
2007-08-14,21.71,23.2,20071000,20070900
2007-08-15,22.63,24.3,20071000,20070900
2007-08-16,22.81,25.18,20071000,20070900
2007-08-17,23.5,27.25,20071000,20070900
2007-08-20,23.89,26.47,20071000,20070900
2007-08-21,22.39,24.45,20071000,20070900
2007-08-22,22.2,23.85,20071000,20070900
2007-08-23,21.73,22.7,20071000,20070900
2007-08-24,22.07,23.1,20071000,20070900
2007-08-27,21.29,22.23,20071000,20070900
2007-08-28,22.29,23.28,20071000,20070900
2007-08-29,24.16,25.21,20071000,20070900
2007-08-30,23.32,24.16,20071000,20070900
2007-08-31,23.41,24.45,20071000,20070900
2007-09-03,22.7,23.7,20071000,20070900
2007-09-04,22.7,23.7,20071000,20070900
2007-09-05,21.87,22.78,20071000,20070900
2007-09-06,23.06,24.16,20071000,20070900
2007-09-07,22.89,23.98,20071000,20070900
2007-09-10,24.1,25.83,20071000,20070900
2007-09-11,24.67,26.72,20071000,20070900
2007-09-12,22.46,23.62,20071100,20071000
2007-09-13,22.7,23.88,20071100,20071000
2007-09-14,22.52,23.76,20071100,20071000
2007-09-17,22.45,23.78,20071100,20071000
2007-09-18,22.84,24.34,20071100,20071000
2007-09-19,21.06,21.39,20071100,20071000
2007-09-20,20.23,20.57,20071100,20071000
2007-09-21,20.75,20.82,20071100,20071000
2007-09-24,19.98,19.87,20071100,20071000
2007-09-25,19.91,19.71,20071100,20071000
2007-09-26,20.11,19.88,20071100,20071000
2007-09-27,19.56,19.03,20071100,20071000
2007-09-28,19.39,18.72,20071100,20071000
2007-10-01,19.79,18.92,20071100,20071000
2007-10-02,19.34,18.43,20071100,20071000
2007-10-03,19.69,18.92,20071100,20071000
2007-10-04,19.99,19.1,20071100,20071000
2007-10-05,20.15,19.26,20071100,20071000
2007-10-08,19.27,17.93,20071100,20071000
2007-10-09,19.51,18.2,20071100,20071000
2007-10-10,18.64,17.06,20071100,20071000
2007-10-11,18.62,17.31,20071100,20071000
